"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"SOCIAL SCIENCE QUARTERLY","0038-4941","1540-6237","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Political Science | Sociology"
"SOCIAL SCIENCE RESEARCH","0049-089X","1096-0317","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Sociology"
"SOCIAL SEMIOTICS","1035-0330","1470-1219","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Communication | Linguistics"
"SOCIAL SERVICE REVIEW","0037-7961","1537-5404","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Social Work"
"SOCIAL STUDIES OF SCIENCE","0306-3127","1460-3659","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","History & Philosophy Of Science"
"SOCIAL THEORY & HEALTH","1477-8211","1477-822X","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Social Sciences, Biomedical"
"SOCIAL WORK","0037-8046","1545-6846","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Social Work"
"SOCIAL WORK IN HEALTH CARE","0098-1389","1541-034X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Work"
"SOCIAL WORK IN PUBLIC HEALTH","1937-1918","1937-190X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Work | Public, Environmental & Occupational Health"
"SOCIAL WORK RESEARCH","1070-5309","1545-6838","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Social Work"
